,,0
AU14_Dimpler,AU23_LipTightener,0.02192280610434214
gazeUp,press_dur,0.021803306600850832
backsp_dur,AU12_LipCornerPuller,0.02176173521160945
AU25_LipsPart,AU12_LipCornerPuller,0.021703652828573766
AU9_NoseWringler,Rclick,0.021085322184820395
AU2_OuterBrowRaiser,move_dist,0.020407866333028234
AU7_LidTightener,headOrient_y,0.020312970356832213
AU7_LidTightener,headOrient_x,0.020311287949207595
AU12_LipCornerPuller,AUc28_LipSuck,0.019962934544315913
backsp_dur,scroll_dur,0.019536115585618182
move_speed,gazeUp,0.019092797436604754
AU9_NoseWringler,gazeUp,0.018691684420161236
headOrient_x,gazeLeft,0.01851213344001857
gazeLeft,AU45_BlinkInt,0.01850696876123644
gazeLeft,headOrient_y,0.018437203959314034
AU5_UpperLipRaiser,press_dur,0.01825082938890032
AU10_UpperLipRaiser,AU23_LipTightener,0.017885790473373506
gazeCenter,AU12_LipCornerPuller,0.017302512150167218
AU14_Dimpler,scroll_dur,0.017129181097038888
scroll_dur,AUc28_LipSuck,0.016419039316108854
scroll_dur,headOrient_y,0.015584811871258137
headOrient_x,scroll_dur,0.015534823875088736
headOrient_y,AU6_CheekRaiser,0.015076892745825122
AU6_CheekRaiser,headOrient_x,0.015043260351378731
AU14_Dimpler,Lclick,0.013997912596303525
scroll_dur,AU6_CheekRaiser,0.013557277631402397
AU14_Dimpler,gazeCenter,0.01342934439757747
AU25_LipsPart,AU7_LidTightener,0.013370682449001798
move_dist,AU23_LipTightener,0.013012047697014301
AUc28_LipSuck,Lclick,0.012874406620774824
AU5_UpperLipRaiser,Lclick,0.012802907922571426
AU2_OuterBrowRaiser,keyPress,0.012291200166287881
pause_rate,move_speed,0.01208812937836207
pause_dur,move_speed,0.012088129378258613
Rclick,headOrient_x,0.011500302340719045
Rclick,headOrient_y,0.011448523132195678
backsp_dur,headOrient_y,0.011119105089589318
backsp_dur,headOrient_x,0.010925199410668142
AUc28_LipSuck,headOrient_y,0.010770643736222678
headOrient_x,AUc28_LipSuck,0.010753938375745615
AU10_UpperLipRaiser,AU5_UpperLipRaiser,0.010626928566661557
gazeCenter,backsp_dur,0.0100297529407134
AU14_Dimpler,AU17_ChinRaiser,0.009911995258822687
move_dist,gazeUp,0.009689337472063199
gazeLeft,press_dur,0.008783503487410915
pause_dur,headOrient_y,0.008191179850286157
pause_rate,headOrient_y,0.008191179849891556
headOrient_x,pause_dur,0.008018629854747397
pause_rate,headOrient_x,0.008018629854335097
AU6_CheekRaiser,gazeLeft,0.007826826665334203
duration,headOrient_y,0.007586747971323353
headOrient_x,duration,0.0074687761738251954
AU7_LidTightener,duration,0.007424636242355598
move_duration,AU6_CheekRaiser,0.007034739757347543
AU4_BrowLowerer,duration,0.00643104016625421
AUc28_LipSuck,duration,0.005469964267705435
AU6_CheekRaiser,move_speed,0.005223871422029069
duration,move_duration,0.005007160702617271
AU2_OuterBrowRaiser,duration,0.004892315256470685
AU14_Dimpler,AU5_UpperLipRaiser,0.004468614977370245
headOrient_x,move_duration,0.004293942197266501
headOrient_y,move_duration,0.004268546516915895
AU14_Dimpler,AUc28_LipSuck,0.004259900631650799
duration,gazeUp,0.0038415559861258064
AU5_UpperLipRaiser,gazeLeft,0.0030160950775765215
gazeDown,AU14_Dimpler,0.002509715648366404
gazeUp,backsp_dur,0.0024033370239886884
Rclick,AU23_LipTightener,0.0016194340018484187
press_dur,AU2_OuterBrowRaiser,0.0013804737745722372
Lclick,gazeLeft,0.0007966887194977649
headOrient_z,gazeUp,0.0005565359171765297
AU4_BrowLowerer,pause_dur,0.00036857051972846174
AU4_BrowLowerer,pause_rate,0.0003685705178558957
gazeDown,backsp_dur,6.375139414433053e-05
Rclick,gazeRight,5.309880596602326e-05
AU7_LidTightener,AU9_NoseWringler,-5.712701777487311e-05
gazeUp,headOrient_y,-0.0003537699230941049
gazeUp,headOrient_x,-0.0005564698960178055
backsp_dur,AU1_InnerBrowRaiser,-0.0006059044687362312
AU1_InnerBrowRaiser,pause_rate,-0.0007046888239276699
pause_dur,AU1_InnerBrowRaiser,-0.0007046888286202675
duration,gazeCenter,-0.00084543621888034
AU14_Dimpler,AU25_LipsPart,-0.0013581065637811693
gazeDown,gazeRight,-0.0014091399072048614
Rclick,AU7_LidTightener,-0.002118597702986007
AU6_CheekRaiser,move_dist,-0.002209537602981359
gazeLeft,gazeUp,-0.0024138275274555843
gazeDown,AU6_CheekRaiser,-0.0024552303147326493
gazeRight,AU6_CheekRaiser,-0.002707586904696872
press_dur,move_speed,-0.0034604065549313557
pause_dur,AU12_LipCornerPuller,-0.003818921585389114
AU12_LipCornerPuller,pause_rate,-0.0038189215859210485
AU6_CheekRaiser,gazeUp,-0.004064682460416136
gazeUp,AU2_OuterBrowRaiser,-0.004269732061104152
headOrient_z,move_duration,-0.004290066648021003
scroll_dur,Rclick,-0.004790322790084363
gazeLeft,AU1_InnerBrowRaiser,-0.004978187465858823
AU23_LipTightener,Lclick,-0.005071177844347218
move_dist,pause_dur,-0.005121853544994991
pause_rate,move_dist,-0.00512185354616531
move_dist,AU12_LipCornerPuller,-0.0053958674562676195
AU9_NoseWringler,AU45_BlinkInt,-0.005762045591883537
AU1_InnerBrowRaiser,scroll_dur,-0.006503990862423971
AU2_OuterBrowRaiser,backsp_dur,-0.006864496009072262
backsp_dur,move_speed,-0.007108611511721206
move_duration,AU23_LipTightener,-0.007377795411450754
